Region,Kommune,Institutionsnavn,Baseline,Resultat 2018,Difference,Præmie (mio. kr.),Institutionsnummer,over,under,Elevtal,ForbedretElev,Bonus,Korrigeret Baseline
Midtjylland,Aarhus,Hasle Skole,0.34490000000000004,0.36840000000000006,-0.02350000000000002,0,751015,12,7,19,-0.4465000000000004,FALSE,0.32356377179004486
Midtjylland,Aarhus,Læssøesgades Skole,0.4559,0.625,-0.16909999999999997,0,751023,6,10,16,-2.7055999999999996,FALSE,0.40953134902770116
Midtjylland,Aarhus,Tovshøjskolen,0.6144,0.68,-0.0656000000000001,0,751010,8,17,25,-1.6400000000000026,FALSE,0.5610067500032234
Nordjylland,Brønderslev,Toftegårdsskolen,0.34259999999999996,0.303,0.03959999999999997,0,805009,23,10,33,1.306799999999999,FALSE,0.32959955439976785
Nordjylland,Frederikshavn,"Distrikt Øst, Frydenstrand skoleafdeling",0.2922,0.2614,0.030799999999999994,0,813002,65,23,88,2.7103999999999995,FALSE,0.28912519833187167
Nordjylland,Frederikshavn,"Distrikt Øst, Nordstjernen skoleafdeling",0.3164,0.3333,-0.01689999999999997,0,280348,44,22,66,-1.115399999999998,FALSE,0.3110027331572535
Nordjylland,Aalborg,Seminarieskolen,0.3282,0.36840000000000006,-0.04020000000000007,0,851054,12,7,19,-0.7638000000000014,FALSE,0.3097165741207594
Sjælland,Guldborgsund,Lindeskovskolen,0.5019,0.619,-0.11709999999999998,0,369009,8,13,21,-2.4590999999999994,FALSE,0.45760973102752883
Sjælland,Guldborgsund,Nr Alslev Skole,0.415,0.4839,-0.06890000000000002,0,375001,16,15,31,-2.1359000000000004,FALSE,0.39313781216905297
Sjælland,Guldborgsund,Sophieskolen,0.43320000000000003,0.5667,-0.13349999999999995,0,369002,26,34,60,-8.009999999999998,FALSE,0.42014274201862134
Sjælland,Guldborgsund,Stubbekøbing Skole,0.4675,0.4545,0.013000000000000012,0,391003,12,10,22,0.28600000000000025,FALSE,0.43011497211698196
Sjælland,Lolland,"Distriktsskolen Øst, Borgerskoleafdelingen",0.4578,0.493,-0.03520000000000001,0,280048,36,35,71,-2.4992000000000005,FALSE,0.4453746099919597
Sjælland,Vordingborg,"Møn Skole, Stege",0.44229999999999997,0.5263,-0.08400000000000002,0,365011,27,30,57,-4.788000000000001,FALSE,0.42801490943211773
Syddanmark,Esbjerg,Kvaglundskolen Signatur,0.34740000000000004,0.3182,0.02920000000000006,0,561024,30,14,44,1.2848000000000026,FALSE,0.33699200891032266
Syddanmark,Esbjerg,Præstegårdsskolen Urban,0.3619,0.6818000000000001,-0.3199000000000001,0,561015,7,15,22,-7.037800000000002,FALSE,0.34046591734706966
Syddanmark,Fredericia,"Kirstinebjergskolen, Havepladsvej",0.35450000000000004,0.3696,-0.015099999999999947,0,607008,87,51,138,-2.0837999999999925,FALSE,0.3507901251543452
Syddanmark,Kerteminde,Munkebo Skole,0.35159999999999997,0.3696,-0.018000000000000016,0,280457,29,17,46,-0.8280000000000007,FALSE,0.34127967043170315
Syddanmark,Odense,Abildgårdskolen,0.5344,0.5625,-0.028100000000000014,0,461039,14,18,32,-0.8992000000000004,FALSE,0.5001328875763185
Syddanmark,Odense,H. C. Andersen Skolen,0.6113000000000001,0.7082999999999999,-0.09699999999999986,0,461075,7,17,24,-2.3279999999999967,FALSE,0.556428706957152
Syddanmark,Sønderborg,Nordals skolen,0.3599,0.39020000000000005,-0.03030000000000005,0,280434,25,16,41,-1.242300000000002,FALSE,0.3477074187082582
Syddanmark,Sønderborg,Nørreskov-Skolen,0.3367,0.375,-0.0383,0,523001,10,6,16,-0.6128,FALSE,0.3137613752926356
Syddanmark,Sønderborg,Sønderskov-Skolen,0.34590000000000004,0.3103,0.03560000000000002,0,537004,40,18,58,2.0648000000000013,FALSE,0.33794028412175936
Syddanmark,Vejle,Firkløverskolen,0.33490000000000003,0.35090000000000005,-0.016000000000000014,0,280334,37,20,57,-0.9120000000000008,FALSE,0.3275164781545224
Syddanmark,Vejle,Vejle Midtbyskole,0.4556,0.4058,0.04980000000000001,0,280331,41,28,69,3.436200000000001,FALSE,0.4429518948684043
